animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster
Dog,0,57,Puppy/Kitten,24,November,1,Mix,Black,Healthy/Normal,0
Cat,1,55,Puppy/Kitten,24,March,1,Mix,White,Healthy/Normal,0
Cat,1,36,Puppy/Kitten,14,June,0,Pure,Black,Healthy/Normal,0
Dog,1,372,Young Adult,7,June,1,Mix,Brown,Healthy/Normal,0
Cat,1,84,Puppy/Kitten,31,June,1,Pure,White,Healthy/Normal,0
Dog,0,1465,Adult,4,June,1,Mix,White,Healthy/Normal,0
Cat,1,80,Puppy/Kitten,19,August,1,Mix,Black,Healthy/Normal,0
Dog,0,254,Puppy/Kitten,9,January,0,Pure,Tricolor,Healthy/Normal,0
Cat,0,96,Puppy/Kitten,4,January,1,Mix,White,Healthy/Normal,0
Dog,1,854,Young Adult,5,December,1,Mix,White,Healthy/Normal,0
Dog,1,48,Puppy/Kitten,3,October,1,Mix,White,Healthy/Normal,0
Cat,0,55,Puppy/Kitten,35,November,0,Pure,Brown,Sick/Medical,0
Dog,0,2926,Senior,3,October,0,Mix,White,Healthy/Normal,0
Dog,1,362,Puppy/Kitten,2,June,1,Mix,White,Healthy/Normal,0
Dog,1,281,Puppy/Kitten,7,July,0,Pure,White,Healthy/Normal,0
Dog,1,3231,Senior,14,December,1,Pure,Grey,Healthy/Normal,0
Dog,0,3657,Senior,4,February,0,Mix,Gold,Healthy/Normal,0
Dog,1,2924,Senior,1,May,1,Mix,Black,Healthy/Normal,0
Dog,1,373,Young Adult,8,April,1,Mix,Black,Healthy/Normal,0
Dog,1,773,Young Adult,41,August,1,Mix,Black,Healthy/Normal,0
Dog,1,739,Young Adult,8,June,1,Mix,Gold,Healthy/Normal,0
Cat,0,74,Puppy/Kitten,12,August,1,Mix,Grey,Healthy/Normal,0
Dog,0,79,Puppy/Kitten,6,November,1,Pure,Black,Healthy/Normal,0
