animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster,gmm_cluster,gmm_soft_cluster,density_score
Dog,0,57,Puppy/Kitten,24,November,1,Mix,Black,Healthy/Normal,0,2,1.0,52.402438952082306
Cat,1,55,Puppy/Kitten,24,March,1,Mix,White,Healthy/Normal,0,1,1.0,85.130254675695
Cat,1,36,Puppy/Kitten,14,June,0,Pure,Black,Healthy/Normal,0,2,1.0,52.61286636048055
Dog,1,372,Young Adult,7,June,1,Mix,Brown,Healthy/Normal,0,1,1.0,83.56321439850448
Cat,1,84,Puppy/Kitten,31,June,1,Pure,White,Healthy/Normal,0,1,1.0,87.18141061481542
Dog,0,1465,Adult,4,June,1,Mix,White,Healthy/Normal,0,0,1.0,50.26324767010393
Cat,1,80,Puppy/Kitten,19,August,1,Mix,Black,Healthy/Normal,0,1,1.0,88.20586944988841
Dog,0,254,Puppy/Kitten,9,January,0,Pure,Tricolor,Healthy/Normal,0,2,1.0,25.294009486000704
Cat,0,96,Puppy/Kitten,4,January,1,Mix,White,Healthy/Normal,0,2,1.0,50.742498163811675
Dog,1,854,Young Adult,5,December,1,Mix,White,Healthy/Normal,0,1,1.0,88.16911246591758
Dog,1,48,Puppy/Kitten,3,October,1,Mix,White,Healthy/Normal,0,1,1.0,87.12160667293374
Cat,0,55,Puppy/Kitten,35,November,0,Pure,Brown,Sick/Medical,0,2,1.0,39.99697832250498
Dog,0,2926,Senior,3,October,0,Mix,White,Healthy/Normal,0,0,1.0,47.18792075973145
Dog,1,362,Puppy/Kitten,2,June,1,Mix,White,Healthy/Normal,0,1,1.0,86.9435020893791
Dog,1,281,Puppy/Kitten,7,July,0,Pure,White,Healthy/Normal,0,2,1.0,52.263898658852604
Dog,1,3231,Senior,14,December,1,Pure,Grey,Healthy/Normal,0,0,1.0,45.270596006888965
Dog,0,3657,Senior,4,February,0,Mix,Gold,Healthy/Normal,0,0,1.0,40.73169534044842
Dog,1,2924,Senior,1,May,1,Mix,Black,Healthy/Normal,0,0,1.0,53.478914173961826
Dog,1,373,Young Adult,8,April,1,Mix,Black,Healthy/Normal,0,1,1.0,85.64812107783513
Dog,1,773,Young Adult,41,August,1,Mix,Black,Healthy/Normal,0,1,1.0,88.00565024091146
Dog,1,739,Young Adult,8,June,1,Mix,Gold,Healthy/Normal,0,1,1.0,76.61914604153422
Cat,0,74,Puppy/Kitten,12,August,1,Mix,Grey,Healthy/Normal,0,2,1.0,47.28431722741313
Dog,0,79,Puppy/Kitten,6,November,1,Pure,Black,Healthy/Normal,0,2,1.0,52.00265372006459
Dog,1,1009,Young Adult,8,February,1,Pure,White,Healthy/Normal,0,1,1.0,85.14986849328643
Dog,1,151,Puppy/Kitten,29,April,1,Mix,Tricolor,Healthy/Normal,0,1,1.0,66.37092170447647
Cat,1,29,Puppy/Kitten,1,April,0,Mix,Black,Healthy/Normal,0,2,1.0,48.834699683216975
Dog,0,3665,Senior,13,December,0,Mix,Grey,Injured,0,0,1.0,35.18106571442895
Dog,1,171,Puppy/Kitten,4,June,1,Pure,Black,Healthy/Normal,0,1,1.0,87.06095210387328
Cat,1,116,Puppy/Kitten,94,August,1,Mix,Brown,Life Stage/Developmental,0,1,0.9999999999977405,56.94783829793686
Dog,1,5844,Senior,1,May,1,Mix,Red,Healthy/Normal,0,0,1.0,38.57315409074455
Dog,1,1891,Adult,4,April,1,Pure,Black,Healthy/Normal,0,1,1.0,83.5596774262467
Dog,0,81,Puppy/Kitten,5,January,1,Mix,White,Healthy/Normal,0,2,1.0,51.4241772551288
Dog,1,772,Young Adult,40,October,1,Mix,White,Healthy/Normal,0,1,1.0,87.34844817733055
Cat,1,317,Puppy/Kitten,314,December,1,Mix,Black,Healthy/Normal,0,1,1.0,80.14527176405764
Dog,1,363,Puppy/Kitten,211,January,1,Pure,Black,Injured,0,1,1.0,74.0870708912333
Dog,1,370,Young Adult,4,June,0,Mix,White,Healthy/Normal,0,2,1.0,52.0637057440771
Dog,1,191,Puppy/Kitten,6,February,1,Mix,Black,Healthy/Normal,0,1,1.0,86.60034103463435
Dog,1,1841,Adult,13,February,0,Mix,Black,Healthy/Normal,0,0,1.0,52.39772703952513
Dog,1,889,Young Adult,159,October,1,Pure,Brown,Healthy/Normal,0,1,1.0,81.60373022210024
Cat,1,1148,Adult,52,December,1,Mix,White,Healthy/Normal,0,1,1.0,83.71472660031081
Cat,1,26,Puppy/Kitten,3,August,0,Pure,White,Healthy/Normal,0,2,1.0,51.61782089215167
Other,0,735,Young Adult,4,November,0,Pure,Brown,Healthy/Normal,0,2,1.0,45.901123187482
Cat,1,135,Puppy/Kitten,77,September,1,Pure,Black,Healthy/Normal,0,1,1.0,86.74752199815136
Dog,1,562,Young Adult,8,May,1,Mix,Gold,Healthy/Normal,0,1,1.0,76.06894487399293
Dog,1,1890,Adult,63,April,1,Pure,Black,Healthy/Normal,0,1,1.0,83.80627022727025
Dog,1,185,Puppy/Kitten,109,April,0,Pure,White,Healthy/Normal,0,2,1.0,38.79428017752578
Cat,1,1838,Adult,12,June,1,Mix,White,Healthy/Normal,0,1,1.0,83.96681459497141
Cat,0,26,Puppy/Kitten,19,September,0,Mix,Other,Healthy/Normal,0,2,1.0,47.7976062349904
Cat,0,747,Young Adult,17,January,1,Mix,White,Healthy/Normal,0,2,1.0,48.888702070362264
Cat,0,160,Puppy/Kitten,7,September,1,Mix,Black,Healthy/Normal,0,2,1.0,52.00327980795176
Dog,1,582,Young Adult,3,October,1,Mix,Black,Healthy/Normal,0,1,1.0,87.35408943669478
Cat,0,740,Young Adult,9,February,0,Pure,White,Healthy/Normal,0,2,1.0,46.972753407058626
Cat,1,95,Puppy/Kitten,4,August,0,Pure,White,Healthy/Normal,0,2,1.0,51.8156441953747
Cat,1,72,Puppy/Kitten,56,September,1,Mix,Red,Life Stage/Developmental,0,1,0.9999999999574456,49.12351408748053
Dog,1,745,Young Adult,14,September,1,Mix,Brown,Healthy/Normal,0,1,1.0,83.77657452679368
Dog,1,5237,Senior,4,January,1,Pure,White,Healthy/Normal,0,0,1.0,52.05881527178603
Cat,1,54,Puppy/Kitten,4,July,0,Mix,Red,Healthy/Normal,0,2,1.0,44.50478195943205
Dog,0,66,Puppy/Kitten,43,February,1,Mix,Black,Sick/Medical,0,2,1.0,38.33654290862101
Cat,1,123,Puppy/Kitten,47,December,1,Pure,White,Healthy/Normal,0,1,1.0,88.02322081737559
Dog,0,7,Puppy/Kitten,2,April,0,Mix,Brown,Healthy/Normal,0,2,1.0,47.19782533944314
Dog,1,618,Young Adult,10,August,1,Pure,White,Healthy/Normal,0,1,1.0,87.69056676632421
Cat,1,372,Young Adult,6,February,1,Mix,White,Healthy/Normal,0,1,1.0,84.35851422820657
Cat,1,129,Puppy/Kitten,9,May,1,Pure,Black,Healthy/Normal,0,1,1.0,85.41311646299509
Dog,1,227,Puppy/Kitten,15,July,0,Mix,White,Healthy/Normal,0,2,1.0,53.3403480652165
Dog,1,129,Puppy/Kitten,7,October,1,Pure,White,Healthy/Normal,0,1,1.0,86.67085503599868
Cat,1,73,Puppy/Kitten,41,May,1,Mix,Black,Healthy/Normal,0,1,1.0,85.88674210944397
Dog,1,3729,Senior,76,December,1,Pure,Gold,Healthy/Normal,0,0,1.0,47.776600460641795
Cat,0,446,Young Adult,81,September,1,Mix,Black,Injured,0,2,1.0,36.93723740348889
Dog,1,734,Young Adult,3,April,1,Mix,White,Healthy/Normal,0,1,1.0,86.43122729949545
Cat,1,3306,Senior,18,January,1,Pure,Brown,Healthy/Normal,0,0,1.0,49.66864057680383
Dog,1,2857,Senior,1,June,1,Mix,Black,Healthy/Normal,0,0,1.0,53.62291090778075
Other,0,735,Young Adult,3,May,0,Pure,Black,Sick/Medical,0,2,1.0,39.0150995036298
Dog,0,76,Puppy/Kitten,8,May,1,Mix,Black,Healthy/Normal,0,2,1.0,52.56846770233864
Other,1,150,Puppy/Kitten,27,March,0,Pure,White,Healthy/Normal,0,2,1.0,42.3014359860592
Dog,1,742,Young Adult,10,December,1,Mix,White,Healthy/Normal,0,1,1.0,88.61018057708584
Dog,1,369,Young Adult,3,January,0,Mix,Black,Healthy/Normal,0,2,1.0,49.38578932935452
Dog,1,1838,Adult,7,November,1,Pure,White,Healthy/Normal,0,1,1.0,84.93393139569592
Dog,1,387,Young Adult,4,March,1,Pure,Black,Healthy/Normal,0,1,1.0,85.34818508913361
Dog,1,1192,Adult,95,September,1,Pure,White,Healthy/Normal,0,1,1.0,82.77134219092315
Cat,1,174,Puppy/Kitten,21,February,1,Pure,Brown,Healthy/Normal,0,1,1.0,83.41440660681927
Dog,0,735,Young Adult,4,October,1,Mix,White,Healthy/Normal,0,2,1.0,51.57837619648761
Cat,1,70,Puppy/Kitten,31,November,1,Pure,Brown,Healthy/Normal,0,1,1.0,84.64416866010343
Livestock,0,927,Young Adult,196,July,0,Pure,Black,Healthy/Normal,0,2,1.0,-665.922334536848
Cat,0,76,Puppy/Kitten,49,December,1,Pure,Brown,Healthy/Normal,0,2,1.0,48.98886003923151
Dog,1,160,Puppy/Kitten,8,March,1,Mix,Black,Healthy/Normal,0,1,1.0,85.95749200380598
Dog,1,69,Puppy/Kitten,23,March,1,Mix,White,Healthy/Normal,0,1,1.0,85.82624770153434
Dog,1,557,Young Adult,1,February,1,Pure,White,Healthy/Normal,0,1,1.0,86.57084772777976
Cat,1,62,Puppy/Kitten,16,July,0,Mix,White,Healthy/Normal,0,2,1.0,53.49860168128465
Dog,1,586,Young Adult,39,July,1,Mix,Brown,Sick/Medical,0,1,0.9999999999999858,66.52030673669027
Other,0,369,Young Adult,3,December,0,Pure,Black,Sick/Medical,0,2,1.0,37.7519690683262
Cat,1,75,Puppy/Kitten,14,July,1,Pure,White,Healthy/Normal,0,1,1.0,87.80081753030883
Dog,1,376,Young Adult,10,August,1,Pure,White,Healthy/Normal,0,1,1.0,87.12373629628024
Dog,1,2486,Adult,9,October,1,Mix,Black,Healthy/Normal,0,1,0.9999999999993889,78.30065386151988
Cat,1,49,Puppy/Kitten,4,July,0,Mix,White,Healthy/Normal,0,2,1.0,53.3273394728402
Dog,1,78,Puppy/Kitten,40,July,1,Pure,Black,Life Stage/Developmental,0,1,0.9999999991875086,58.41890412780112
Cat,0,56,Puppy/Kitten,3,June,0,Pure,Red,Healthy/Normal,0,2,1.0,44.80972902147299
Dog,1,753,Young Adult,23,April,0,Mix,White,Healthy/Normal,0,2,1.0,49.187177376634224
Cat,1,460,Young Adult,28,July,1,Mix,Black,Healthy/Normal,0,1,1.0,86.13903911617511
Dog,1,669,Young Adult,129,October,1,Mix,Red,Healthy/Normal,0,1,1.0,74.22917738074172
Cat,1,65,Puppy/Kitten,3,September,0,Mix,Brown,Healthy/Normal,0,2,1.0,50.04400708360144
Cat,0,367,Young Adult,2,July,0,Mix,Black,Healthy/Normal,0,2,1.0,51.66850920706756
Dog,1,790,Young Adult,26,September,1,Pure,Black,Healthy/Normal,0,1,1.0,86.65931111310778
Dog,1,449,Young Adult,15,June,1,Pure,White,Healthy/Normal,0,1,1.0,86.98155359259665
Dog,1,1106,Adult,9,February,1,Mix,White,Healthy/Normal,0,1,0.9999999999999858,83.32260785629603
Dog,1,2928,Senior,6,June,1,Pure,White,Healthy/Normal,0,0,1.0,53.262354712951115
Dog,1,1107,Adult,2,April,1,Mix,White,Healthy/Normal,0,1,1.0,83.0435050916714
Dog,1,340,Puppy/Kitten,6,July,1,Mix,White,Healthy/Normal,0,1,1.0,87.83013371162433
Dog,0,371,Young Adult,5,June,1,Mix,White,Healthy/Normal,0,2,1.0,51.412677265388325
Dog,1,367,Young Adult,2,February,1,Mix,Black,Healthy/Normal,0,1,1.0,86.44538404649315
Dog,1,616,Young Adult,66,July,1,Pure,White,Healthy/Normal,0,1,1.0,87.54752818885846
Dog,1,378,Young Adult,12,November,1,Pure,Black,Healthy/Normal,0,1,1.0,86.22099641605587
Cat,1,59,Puppy/Kitten,38,January,1,Mix,Black,Life Stage/Developmental,0,1,0.9999999999856399,57.62560336767659
Dog,0,369,Young Adult,3,March,1,Pure,White,Healthy/Normal,0,2,1.0,47.88403027692886
Dog,1,741,Young Adult,11,April,1,Mix,Gold,Healthy/Normal,0,1,1.0,75.31429262022543
Dog,0,70,Puppy/Kitten,32,February,1,Pure,White,Life Stage/Developmental,0,2,1.0,35.980366052424785
Cat,1,380,Young Adult,15,December,1,Mix,Other,Healthy/Normal,0,1,1.0,82.55442185279493
Dog,1,3663,Senior,9,January,0,Pure,Black,Healthy/Normal,0,0,1.0,52.282263270405984
Cat,1,2926,Senior,3,October,0,Mix,Black,Injured,0,0,1.0,46.321429280225175
Cat,1,378,Young Adult,12,December,1,Mix,Grey,Healthy/Normal,0,1,1.0,78.70420610003649
Cat,1,46,Puppy/Kitten,14,May,0,Mix,Brown,Healthy/Normal,0,2,1.0,50.14054228380242
Dog,1,740,Young Adult,8,July,1,Pure,Black,Healthy/Normal,0,1,1.0,87.20053558277546
Dog,1,371,Young Adult,6,October,1,Mix,White,Healthy/Normal,0,1,1.0,86.70865728254236
Cat,1,829,Young Adult,98,November,1,Pure,Other,Injured,0,1,1.0,72.12602314123404
Dog,1,186,Puppy/Kitten,2,February,1,Pure,White,Healthy/Normal,0,1,1.0,85.96633826448124
Dog,1,738,Young Adult,6,May,1,Mix,Gold,Healthy/Normal,0,1,1.0,75.98994192546955
Dog,0,96,Puppy/Kitten,3,August,1,Mix,Black,Healthy/Normal,0,2,1.0,52.59862193826487
Dog,0,80,Puppy/Kitten,4,December,1,Pure,White,Healthy/Normal,0,2,1.0,51.61690415637734
Dog,0,60,Puppy/Kitten,4,October,1,Mix,Black,Healthy/Normal,0,2,1.0,53.23297271214593
Dog,1,56,Puppy/Kitten,4,July,1,Mix,Black,Healthy/Normal,0,1,1.0,88.11013594496838
Dog,1,1463,Adult,2,November,0,Mix,Gold,Healthy/Normal,0,0,1.0,46.70012703962313
Dog,0,735,Young Adult,5,July,1,Pure,White,Healthy/Normal,0,2,1.0,51.47239005086756
Cat,1,235,Puppy/Kitten,113,November,1,Mix,Brown,Healthy/Normal,0,1,1.0,84.2012340454985
Dog,1,1923,Adult,96,February,1,Pure,Black,Healthy/Normal,0,1,1.0,84.08703905302308
Dog,1,251,Puppy/Kitten,6,November,1,Mix,Black,Healthy/Normal,0,1,1.0,87.12470220303574
Cat,1,97,Puppy/Kitten,35,January,1,Mix,Black,Healthy/Normal,0,1,1.0,87.09041909083814
Cat,1,212,Puppy/Kitten,28,October,1,Pure,Brown,Healthy/Normal,0,1,1.0,84.53698186826246
Cat,1,195,Puppy/Kitten,10,February,1,Pure,Grey,Healthy/Normal,0,1,1.0,77.62285359482692
Dog,1,2192,Adult,1,May,0,Mix,Brown,Healthy/Normal,0,0,1.0,48.494365832100534
Dog,1,778,Young Adult,46,February,1,Mix,Other,Healthy/Normal,0,1,1.0,79.74537461031957
Cat,0,71,Puppy/Kitten,10,November,1,Pure,White,Healthy/Normal,0,2,1.0,51.97339216465984
Dog,0,734,Young Adult,3,October,1,Mix,White,Healthy/Normal,0,2,1.0,51.568508192809944
Dog,1,2290,Adult,1,October,1,Pure,White,Healthy/Normal,0,1,0.999999999999929,80.6112726874814
Cat,1,375,Young Adult,9,March,1,Mix,Black,Healthy/Normal,0,1,1.0,83.65694769403432
Dog,1,308,Puppy/Kitten,5,December,1,Mix,Black,Healthy/Normal,0,1,1.0,88.06142309989953
Dog,1,108,Puppy/Kitten,4,May,1,Mix,White,Healthy/Normal,0,1,1.0,86.57837185490429
Dog,1,83,Puppy/Kitten,52,June,1,Mix,Tricolor,Healthy/Normal,0,1,1.0,67.60798942866617
Other,1,473,Young Adult,107,June,1,Pure,White,Healthy/Normal,0,2,1.0,36.013300406897216
Cat,1,520,Puppy/Kitten,184,October,1,Mix,Black,Healthy/Normal,0,1,1.0,84.3369053228119
Cat,1,254,Puppy/Kitten,103,January,1,Pure,White,Injured,0,1,1.0,76.83904490440203
Dog,1,65,Puppy/Kitten,4,January,1,Mix,Black,Healthy/Normal,0,1,1.0,87.54570796518095
Dog,1,60,Puppy/Kitten,23,May,1,Mix,Black,Healthy/Normal,0,1,1.0,86.5684122165636
Cat,0,756,Young Adult,24,June,1,Mix,Black,Healthy/Normal,0,2,1.0,50.12045726193307
Dog,1,3734,Senior,82,October,1,Mix,Grey,Healthy/Normal,0,0,1.0,45.81319879386022
Dog,1,1101,Adult,5,February,1,Pure,White,Healthy/Normal,0,1,0.9999999999999858,82.62458896503824
Dog,1,97,Puppy/Kitten,6,July,1,Mix,White,Healthy/Normal,0,1,1.0,88.24392423813963
