animal_type,has_name,outcome_group,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,dbscan_cluster
Dog,0,Positive,57,Puppy/Kitten,24,November,1,Mix,Black,Healthy/Normal,0
Cat,1,Positive,55,Puppy/Kitten,24,March,1,Mix,White,Healthy/Normal,0
Cat,1,Neutral,36,Puppy/Kitten,14,June,0,Pure,Black,Healthy/Normal,0
Dog,1,Positive,372,Young Adult,7,June,1,Mix,Brown,Healthy/Normal,0
Cat,1,Positive,84,Puppy/Kitten,31,June,1,Pure,White,Healthy/Normal,0
Dog,0,Positive,1465,Adult,4,June,1,Mix,White,Healthy/Normal,0
Cat,1,Positive,80,Puppy/Kitten,19,August,1,Mix,Black,Healthy/Normal,0
Dog,0,Neutral,254,Puppy/Kitten,9,January,0,Pure,Tricolor,Healthy/Normal,0
Cat,0,Positive,96,Puppy/Kitten,4,January,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,854,Young Adult,5,December,1,Mix,White,Healthy/Normal,0
Dog,1,Positive,48,Puppy/Kitten,3,October,1,Mix,White,Healthy/Normal,0
Cat,0,Neutral,55,Puppy/Kitten,35,November,0,Pure,Brown,Sick/Medical,0
Dog,0,Neutral,2926,Senior,3,October,0,Mix,White,Healthy/Normal,0
Dog,1,Neutral,362,Puppy/Kitten,2,June,1,Mix,White,Healthy/Normal,0
Dog,1,Neutral,281,Puppy/Kitten,7,July,0,Pure,White,Healthy/Normal,0
Dog,1,Positive,3231,Senior,14,December,1,Pure,Grey,Healthy/Normal,0
Dog,0,Negative,3657,Senior,4,February,0,Mix,Gold,Healthy/Normal,0
Dog,1,Positive,2924,Senior,1,May,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,373,Young Adult,8,April,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,773,Young Adult,41,August,1,Mix,Black,Healthy/Normal,0
Dog,1,Positive,739,Young Adult,8,June,1,Mix,Gold,Healthy/Normal,0
Cat,0,Neutral,74,Puppy/Kitten,12,August,1,Mix,Grey,Healthy/Normal,0
Dog,0,Positive,79,Puppy/Kitten,6,November,1,Pure,Black,Healthy/Normal,0
Dog,1,Positive,1009,Young Adult,8,February,1,Pure,White,Healthy/Normal,0
Dog,1,Positive,151,Puppy/Kitten,29,April,1,Mix,Tricolor,Healthy/Normal,0
Cat,1,Neutral,29,Puppy/Kitten,1,April,0,Mix,Black,Healthy/Normal,0
Dog,0,Negative,3665,Senior,13,December,0,Mix,Grey,Injured,0
Dog,1,Positive,171,Puppy/Kitten,4,June,1,Pure,Black,Healthy/Normal,0
Cat,1,Positive,116,Puppy/Kitten,94,August,1,Mix,Brown,Life Stage/Developmental,0
